stateabbr,direct,indirect
AL,350.59502352260506,267.4456559035534
AK,125.81315881023374,56.09965823649145
AZ,268.4445290809615,239.04505511147545
AR,200.52482895204344,286.6865481091427
CA,1047.9039448461626,175.18188285454016
CO,276.2067805242664,294.0201106366367
CT,118.37433451039988,267.8945741535117
DE,42.04552865123492,310.1387715538058
FL,731.9156256749584,231.80096035864153
GA,401.3730850475581,227.2371419589681
HI,55.95289582048957,154.0547939368007
ID,66.3025644115628,233.60532628694455
IL,595.7527982736519,295.084184439027
IN,538.1827667358075,291.8397554289868
IA,236.42524187732874,279.06114341642024
KS,193.4094317956808,315.336402435365
KY,359.974410683265,297.96680423613
LA,609.9835925863772,254.2228769582989
ME,46.573508659829486,215.16511958058072
MD,170.12267746576617,266.1894699524073
MA,181.44262748725237,296.4484146274408
MI,478.0253180501941,255.11298666458606
MN,269.09138336790375,247.1500929133581
MS,204.08252753022498,271.43214842518137
MO,378.4097578611145,273.57563944837057
MT,92.17673588924583,238.65297730771454
NE,152.65761171832992,284.252632038766
NV,127.4302945275889,268.9507250787992
NH,43.015810081648056,251.41250861006483
NJ,288.1735848326948,257.0309691700804
NM,148.45305885320636,233.81207902707683
NY,504.546343814819,264.1654725750859
NC,373.8817778525199,288.35623720798776
ND,182.7363360611364,238.06494292973912
OH,627.4486583338139,284.33525719093814
OK,283.969031967571,312.548108798208
OR,124.5194502363496,216.33989128975554
PA,690.5169513106657,295.1708451106906
RI,34.283277207929984,298.6800846120095
SC,224.1350104254293,249.70273006296338
SD,49.16092580759778,256.21783110045726
TN,299.81696199765247,302.9772426950767
TX,2145.9390969303367,221.76462638516932
UT,200.84825609551467,223.57399534877186
VT,18.11192003437813,283.6444046775705
VA,316.95860060161704,273.74684129877824
WA,238.68923188162603,211.69595652723547
WV,285.90959482839753,343.97087172915235
WI,299.17010771071,277.9460859002684
WY,176.5912203351868,220.81400970994218
