stateabbr,capacity_direct,capacity_indirect,emissions_direct,emissions_indirect
AL,228.49557120000003,121.31567424512104,6798657.2254848,3220058.9474099576
AK,23.0413248,123.330220679999,170677.46138976002,3572097.087399274
AZ,234.44029439999986,136.4005239545586,7716133.409587175,3588840.6750323325
AR,124.0918848,117.7196465852794,3903812.8085174374,3054904.6375905722
CA,681.8041152000005,92.82915368288013,8887725.724101067,1758250.8420127332
CO,148.42189439999993,119.79913391712034,3851303.263554238,2117792.353804052
CT,81.2433024,121.23324462496021,729690.7826707195,2194652.5773572624
DE,25.766208000000006,101.46317071135945,109431.66199679999,1880677.9863200039
FL,546.5768255999992,114.79990349952004,14570153.097701728,3007737.372930452
GA,292.0978943999994,119.34988939743926,7849970.258158088,3152328.7280083
HI,23.468889599999954,129.8151969967994,584646.4167148806,2408627.6725858003
ID,40.92341759999999,123.14472733408002,358219.0436198404,3214901.0416399986
IL,366.7420224,113.33266685471972,8896482.990682557,1970193.7226908058
IN,221.36924160000012,127.46955221600001,5354468.147358723,3337350.945368901
IA,178.28703360000003,117.25378443071986,3702977.1161135994,3074172.500823468
KS,146.93253120000003,136.85753507455956,4221077.756313601,3648916.1845464706
KY,156.85263360000005,137.32312517983974,1276223.61065472,3650575.152104214
LA,213.59594880000003,120.63839422559977,4738818.360481921,3168435.1850431412
ME,40.20906239999999,127.7684588780794,346809.19455936085,2394611.042382896
MD,97.93854720000002,120.05760901855956,1890703.6536960006,2205476.5673116148
MA,107.35545599999978,117.17384546591984,970740.2397887968,2280848.9252271056
MI,244.44800640000005,121.17808431263984,4174890.8341046423,3259897.6043793857
MN,150.673536,116.73725531007949,3498639.5059200004,2727633.3544485867
MS,122.54711040000007,120.7996757785595,2725931.7963820826,3210532.335597515
MO,172.37001600000008,137.36793420224058,4061770.149528001,3622769.8395444006
MT,49.47546240000001,137.90534510751968,1312460.328816,3684933.4504526556
NE,85.01201280000002,39.538787656638306,2126044.175112,696370.4586316198
NV,112.01673600000004,115.58681326496026,4119303.4496640265,2118370.277025461
NH,35.296934400000005,119.547731905599,829029.68733312,2214188.5079747885
NJ,135.99331200000006,119.19028316127878,1149279.4797119983,2154441.07685031
NM,81.22607999999991,101.47985974719904,2643238.7888400033,1889503.6399244964
NY,318.8824704000001,119.17117720032002,2452939.6270579174,2288873.69243896
NC,288.7050816000001,134.69277158783916,7544426.757117152,3506704.9527725875
ND,73.94549760000001,104.70854319039972,1961589.1875840002,2771852.5605291724
OH,225.3902976000001,124.7562370236792,6060283.052353922,3356542.505622521
OK,249.5091456,133.1224550233601,5996041.60611456,3544898.006604135
OR,134.59455359999993,119.12910573919908,1636232.3394767977,2162631.3794447184
PA,397.50197760000003,108.61847664735978,7462881.003352321,2925830.5013515055
RI,17.435059200000012,113.85242566463876,144942.8776473594,2095959.8922893703
SC,196.4184768,134.93174742111933,4997828.858480647,3552841.068264693
SD,50.58518400000001,145.0701853007995,1425758.5865952005,3801770.869081348
TN,180.921312,122.22779534752044,4759089.881832,3228103.2696582824
TX,1193.6291327999988,109.22210792607984,33193214.78383863,2730815.921341598
UT,78.20467199999985,132.81868960159954,2752585.4813183844,3420073.6851630807
VT,6.656083200000012,124.80628670112037,0.0,2260313.45400548
VA,231.0534719999996,104.61029745983979,5287704.917414382,1784296.027250111
WA,236.84244480000004,119.31145226880017,1470471.8449075199,2319857.9476169646
WV,117.5571072,128.51761083967995,2690317.90969344,3478769.489336744
WI,135.80611199999998,118.7461140095993,2003703.7473648004,3199808.7519079596
WY,85.29880320000002,143.80403830144041,2430312.1760735996,3824160.697838083
